startNode,endNode,blocked,heat
CHALL004L1,CREST004L1,false,143
WELEV00HL1,CHALL004L1,false,143
CHALL010L2,CHALL004L2,false,52
CHALL005L1,WELEV00ML1,false,112
CLABS002L1,CHALL005L1,false,112
CHALL005L2,CHALL006L2,false,114
CHALL005L2,WELEV00ML2,false,185
WHALL001L2,CHALL005L2,false,210
CHALL006L1,CHALL007L1,false,186
CLABS003L1,CHALL006L1,false,156
CREST002L1,CHALL006L1,false,216
CHALL006L2,CHALL007L2,false,104
CHALL007L1,CHALL008L1,false,188
CHALL007L2,CHALL008L2,false,210
CHALL008L1,WELEV00KL1,false,172
CHALL008L2,CHALL009L2,false,78
CHALL008L2,WELEV00LL2,false,154
CHALL009L1,CHALL010L1,false,171
CHALL009L1,CRETL001L1,false,216
WELEV00KL1,CHALL009L1,false,220
CHALL009L2,CHALL010L2,false,48
CHALL010L1,CREST003L1,false,171
CHALL011L1,WELEV00JL1,false,131
CHALL015L1,CHALL011L1,false,131
CHALL012L1,CHALL013L1,false,144
CRETL001L1,CHALL012L1,false,155
CHALL014L1,WELEV00LL1,false,139
CREST003L1,CHALL015L1,false,217
CLABS001L1,CREST002L1,false,219
WELEV00ML1,CLABS001L1,false,207
CREST001L2,CLABS001L2,false,217
CLABS002L1,CREST001L1,false,216
CLABS002L2,WELEV00KL2,false,203
CSERV001L2,CLABS002L2,false,195
CLABS004L1,CLABS003L1,false,227
CREST004L1,CLABS005L1,false,216
CREST002L2,CSERV001L2,false,220
WELEV00ML2,CREST002L2,false,201
DHALL01402,DELEV00A02,false,227
DHALL03002,DELEV00B02,false,227
DHALL03702,DELEV00C02,false,227
DHALL05602,DELEV00D02,false,227
DHALL03002,DREST00102,false,227
DHALL03902,DREST00202,false,227
DHALL04902,DREST00302,false,227
DHALL05202,DREST00402,false,227
DHALL02702,DINFO00102,false,227
DHALL05302,DINFO00202,false,227
DHALL02502,DDEPT00102,false,227
DHALL02502,DDEPT00202,false,227
DHALL03902,DDEPT00302,false,227
DDEPT00302,DHALL04002,false,227
DHALL05802,DDEPT00402,false,227
WHALL00202,DDEPT00402,false,227
DHALL04502,DLABS00102,false,227
DHALL01202,DCONF00102,false,227
DHALL02102,DRETL00102,false,227
DHALL02502,DEXIT00102,false,227
DHALL00902,DSTAI00102,false,227
DHALL01802,DSTAI00202,false,227
DSTAI00202,DHALL01902,false,227
DHALL02202,DSTAI00302,false,227
DHALL02802,DSTAI00402,false,227
DHALL03202,DSTAI00502,false,227
DHALL03602,DSTAI00602,false,227
DHALL04002,DSTAI00702,false,227
DHALL05102,DSTAI00802,false,227
DHALL00102,DHALL00202,false,0
DHALL00202,DHALL00302,false,227
DHALL00302,DHALL00402,false,0
DHALL00302,DHALL00502,false,227
DHALL00502,DHALL00602,false,227
DHALL00602,DHALL00702,false,227
DHALL00702,DHALL00802,false,227
DHALL00802,DHALL00902,false,227
DHALL00902,DHALL01002,false,227
DHALL01002,DHALL01102,false,227
DHALL01102,DHALL01202,false,227
DHALL01202,DHALL01302,false,227
DHALL01202,DHALL01502,false,227
DHALL01302,DHALL01402,false,227
DHALL01502,DHALL01602,false,227
DHALL01602,DHALL01702,false,0
DHALL01602,DHALL01802,false,227
DHALL01802,DHALL02602,false,227
DHALL01902,DHALL02002,false,227
DHALL02002,DHALL02102,false,227
DHALL02102,DHALL02202,false,227
DHALL02202,DHALL02302,false,227
DHALL02302,DHALL02402,false,0
DHALL02602,DHALL02502,false,227
DHALL02602,DHALL02702,false,227
PHALL00102,DHALL02602,false,0
DHALL02702,DHALL02802,false,227
DHALL02802,DHALL02902,false,227
DHALL02902,DHALL03002,false,227
DHALL02902,DHALL03102,false,227
DHALL03102,DHALL03202,false,227
DHALL03102,DHALL03302,false,227
DHALL03302,DHALL03402,false,227
DHALL03302,DHALL03902,false,227
DHALL03302,DHALL04202,false,227
DHALL03402,DHALL03502,false,227
DHALL03502,DHALL03602,false,227
DHALL03602,DHALL03702,false,227
DHALL03702,DHALL03802,false,0
DHALL04002,DHALL04102,false,0
DHALL04202,DHALL04302,false,227
DHALL04202,DHALL04502,false,227
DHALL04302,DHALL04402,false,0
DHALL04502,DHALL04602,false,227
DHALL04602,DHALL04702,false,227
DHALL04702,DHALL04802,false,0
DHALL04702,DHALL04902,false,227
DHALL04902,DHALL05002,false,227
DHALL05002,DHALL05102,false,227
DHALL05002,DHALL05202,false,227
DHALL05202,DHALL05302,false,227
DHALL05302,DHALL05402,false,227
DHALL05402,DHALL05502,false,227
DHALL05402,DHALL05802,false,227
DHALL05502,DHALL05602,false,227
DHALL05602,DHALL05702,false,0
WHALL00201,ESTAI00101,false,227
ESTAI00101,EHALL00301,false,217
EHALL00301,WELEV00K01,false,116
EHALL00301,EHALL00401,false,219
EHALL00401,ESTAI00201,false,227
EHALL00401,EHALL00501,false,218
ESTAI00201,EEXIT00101,false,227
EHALL00501,EHALL00601,false,218
EHALL00601,EHALL00701,false,214
EHALL00601,EHALL00801,false,226
EHALL00701,EDEPT00101,false,227
EHALL00701,WELEV00J01,false,102
EHALL00801,EINFO00101,false,227
EHALL00801,EHALL00901,false,221
EHALL00901,EHALL01001,false,0
EHALL00901,EHALL01101,false,223
EHALL01101,EHALL01201,false,181
EHALL01101,EHALL01501,false,186
EHALL01201,EHALL01301,false,181
EHALL01301,EHALL01401,false,138
EHALL01401,EHALL02401,false,154
EHALL01501,EHALL01601,false,186
EHALL01601,EHALL01701,false,0
EHALL01601,EHALL01801,false,171
EHALL01801,WELEV00G01,false,170
EHALL01801,EHALL02501,false,50
WELEV00G01,EHALL01901,false,227
EHALL01901,EHALL02001,false,227
EHALL01901,EDEPT00201,false,196
EHALL02001,EREST00101,false,227
EHALL02001,ELABS00101,false,227
EREST00101,EEXIT00201,false,227
EDEPT00201,EDEPT00301,false,226
EDEPT00301,EHALL02101,false,159
EHALL02101,EHALL02201,false,159
EHALL02201,WELEV00E01,false,180
EHALL02201,EHALL02301,false,0
EHALL02401,EHALL02501,false,220
EHALL02401,EHALL02901,false,176
EHALL02501,EREST00201,false,225
EHALL02501,EHALL02801,false,0
EREST00201,WELEV00F01,false,212
WELEV00F01,EHALL02601,false,227
EHALL02601,EHALL02701,false,0
EHALL02901,WELEV00H01,false,127
EHALL02901,EHALL03001,false,203
EHALL03001,ESTAI00301,false,204
ESTAI00301,EREST00301,false,227
EREST00301,ELABS00201,false,143
ELABS00201,EDEPT00401,false,210
EDEPT00401,EHALL03101,false,227
EDEPT00401,EHALL03201,false,181
EHALL03101,EHALL03401,false,0
EHALL03101,EHALL03501,false,227
EHALL03201,EHALL03301,false,125
EHALL03301,ESTAI00401,false,161
EHALL03501,EHALL03601,false,0
FHALL00101,WHALL00101,false,206
FHALL00101,FHALL00201,false,206
FHALL00201,FSTAI00101,false,194
FHALL00201,FHALL00301,false,227
FHALL03101,FHALL00201,false,166
HSTAI00102,FSTAI00101,false,144
FHALL00301,FEXIT00101,false,227
FHALL00301,FHALL00401,false,165
FRETL00101,FHALL00401,false,227
FHALL00401,FHALL00501,false,225
FHALL00501,FSERV00101,false,227
FHALL00601,FHALL00501,false,163
WELEV00L01,FHALL00601,false,163
FHALL00701,WELEV00L01,false,160
FHALL00801,FHALL00701,false,226
FHALL01801,FHALL00701,false,223
FHALL00901,FHALL00801,false,226
FHALL00901,FHALL01301,false,227
FHALL01001,FHALL01301,false,227
FDEPT00101,FHALL01301,false,227
FHALL01101,FHALL00901,false,130
FSTAI00201,FHALL01001,false,227
FHALL01201,FHALL01101,false,0
FHALL01401,FHALL01101,false,100
FSERV00401,FHALL01701,false,227
FHALL01401,FSERV00201,false,227
FHALL01501,FHALL01401,false,227
FHALL01601,FHALL01501,false,227
FHALL01901,FHALL01601,false,224
FHALL03201,FHALL01601,false,221
FDEPT00301,FHALL01701,false,227
FHALL01701,FHALL01801,false,227
FHALL01801,FHALL03201,false,224
FHALL01901,FHALL02001,false,227
FHALL01901,FHALL02101,false,222
FDEPT00201,FHALL02001,false,227
FSERV00301,FHALL02001,false,227
FDEPT00401,FHALL02101,false,227
FHALL02201,FHALL02101,false,191
FHALL02201,WELEV00M01,false,167
FHALL02201,FHALL02801,false,227
FLABS00101,FHALL02301,false,227
WELEV00M01,FHALL02301,false,182
FHALL02301,FHALL02401,false,181
FHALL02401,FHALL02501,false,181
FSTAI00301,FHALL02501,false,227
FHALL02501,FHALL02601,false,223
FHALL02601,FHALL03101,false,193
FHALL02701,FHALL02601,false,227
FHALL02701,FHALL03301,false,227
FDEPT00501,FEXIT00301,false,227
FHALL03301,FDEPT00501,false,227
FHALL02801,FEXIT00201,false,227
FHALL02901,FHALL02801,false,227
FHALL02901,FINFO00101,false,227
FSERV00501,FHALL02901,false,227
FSERV00501,FHALL03001,false,227
FRETL00201,FHALL03001,false,227
FHALL03101,FREST00101,false,227
FHALL03201,FDEPT00601,false,227
GDEPT01901,GCONF02001,false,227
GELEV00Q01,GDEPT01901,false,227
GHALL02401,GELEV00N01,false,224
GELEV00N01,GELEV00N02,false,221
GELEV00N01,GELEV00N03,false,9
GHALL01701,GELEV00Q01,false,20
GELEV00QL2,GELEV00Q01,false,38
GELEV00QL1,GELEV00Q01,false,6
GELEV00Q01,GELEV00Q02,false,179
GELEV00Q01,GELEV00Q03,false,9
GEXIT00101,GHALL00201,false,226
GEXIT00101,GSTAI01301,false,43
GHALL00201,GHALL00301,false,193
GHALL00301,GHALL02101,false,194
GSTAI00501,GHALL00601,false,222
GHALL00601,GHALL00701,false,214
GHALL00601,GREST01201,false,227
GHALL00601,GSTAI01301,false,226
GHALL00701,GHALL00801,false,227
GHALL00701,GHALL01701,false,20
GHALL00801,GHALL00901,false,227
GHALL01401,GHALL00801,false,227
GHALL00901,GHALL01001,false,0
GHALL01401,GHALL01501,false,227
GHALL01501,GHALL01601,false,0
GHALL02101,GHALL02201,false,226
GHALL02101,GHALL02801,false,227
GHALL02201,GSERV02301,false,226
GSERV02301,GHALL02401,false,224
GHALL02801,GHALL02901,false,227
GHALL02901,GHALL03001,false,227
GHALL03001,GHALL03101,false,0
GHALL03001,GHALL03301,false,227
GHALL03301,GHALL03401,false,227
GHALL03401,GRETL03501,false,227
GSTAI02802,GSTAI00501,false,219
GSTAI008L1,GSTAI01301,false,14
GHALL01102,GDEPT00702,false,226
GHALL01002,GDEPT00702,false,2
GDEPT00702,GHALL00502,false,1
GELEV00N02,GDEPT02402,false,34
GDEPT02402,GHALL03002,false,219
GDEPT02402,GHALL01702,false,223
GHALL03602,GDEPT03502,false,20
GDEPT03502,GHALL03002,false,208
GSTAI02602,GELEV00N02,false,211
GELEV00N02,GELEV00N03,false,222
GELEV00Q02,GREST03102,false,218
GELEV00QL2,GELEV00Q02,false,96
GELEV00QL1,GELEV00Q02,false,146
GELEV00Q02,GELEV00Q03,false,41
GHALL00202,GHALL00102,false,0
GHALL00102,GHALL00302,false,0
GHALL00402,GHALL00202,false,0
GHALL00502,GHALL00302,false,227
GHALL00302,GHALL00402,false,1
GHALL00402,GREST00602,false,226
GREST00602,GHALL00502,false,226
GHALL01202,GHALL01002,false,226
GHALL01002,GREST00602,false,227
GHALL01302,GHALL01102,false,227
GHALL01102,GHALL01202,false,1
GHALL01402,GHALL01202,false,226
GHALL01502,GHALL01302,false,225
GHALL01402,GHALL01302,false,1
GHALL01602,GHALL01402,false,227
GHALL01602,GHALL01502,false,225
GHALL01702,GHALL01602,false,227
GHALL01702,GINFO01902,false,206
GINFO01902,GHALL01802,false,0
GHALL01802,GHALL02002,false,0
GHALL02002,GHALL02102,false,178
GHALL02002,GHALL02202,false,178
GHALL02102,GINFO01902,false,203
GHALL02102,GHALL02302,false,52
GHALL02202,GHALL02302,false,222
GHALL02202,WHALL00802,false,227
GHALL02302,GHALL02702,false,225
GHALL02902,GHALL02702,false,221
GHALL02702,GSTAI02602,false,225
GHALL03402,GHALL02902,false,203
GSTAI02802,GHALL02902,false,202
GHALL03002,GREST03102,false,54
GREST03102,GHALL03202,false,218
GHALL03302,GHALL03202,false,45
GHALL03202,GSTAI02802,false,215
GHALL03702,GHALL03302,false,226
GHALL03302,GHALL03402,false,224
GHALL03802,GHALL03402,false,0
GHALL03702,GHALL03602,false,20
WHALL00902,GHALL03702,false,227
GHALL03702,GHALL03802,false,0
GSTAI00903,GSTAI02602,false,189
GHALL00303,GDEPT00403,false,227
GDEPT00403,GELEV00Q03,false,223
GDEPT00403,GHALL01003,false,48
GHALL01303,GDEPT01403,false,201
GDEPT01403,GELEV00N03,false,215
GDEPT01403,GSERV01603,false,227
GELEV00Q03,GHALL00603,false,214
GELEV00QL2,GELEV00Q03,false,19
GELEV00QL1,GELEV00Q03,false,9
GHALL00103,GHALL00203,false,0
GHALL00203,GHALL00303,false,227
GHALL00603,GHALL00703,false,0
GHALL00603,GHALL00803,false,220
GHALL00803,GSTAI00903,false,220
GHALL01003,GHALL01103,false,227
GHALL01003,GHALL01303,false,201
GHALL01103,GREST01203,false,227
GHALL006L1,GELEV00QL1,false,226
GELEV00QL2,GELEV00QL1,false,74
GEXIT001L1,GHALL002L1,false,227
GHALL002L1,GHALL003L1,false,227
GHALL003L1,GHALL004L1,false,0
GHALL003L1,GHALL005L1,false,227
GHALL005L1,GSTAI008L1,false,226
GHALL005L1,GHALL006L1,false,226
GHALL005L2,GELEV00QL2,false,183
GELEV00QL2,GHALL007L2,false,227
WHALL002L2,GHALL001L2,false,226
GHALL001L2,GLABS003L2,false,227
GREST004L2,GHALL005L2,false,183
GHALL007L2,GHALL008L2,false,0
GHALL007L2,GHALL009L2,false,227
GHALL009L2,GHALL010L2,false,227
GHALL010L2,GHALL011L2,false,227
GHALL011L2,GHALL012L2,false,227
GHALL012L2,GHALL013L2,false,227
GHALL013L2,GLABS014L2,false,227
GLABS015L2,GHALL016L2,false,227
GHALL016L2,GHALL017L2,false,0
GLABS003L2,GREST004L2,false,222
GLABS014L2,GLABS015L2,false,227
WELEV00L02,HHALL00102,false,187
HHALL00102,HHALL00202,false,220
HHALL00102,HHALL00402,false,198
HHALL00202,HRETL00102,false,227
HHALL00202,HHALL00302,false,219
HHALL00302,HSTAI00102,false,204
HHALL00302,WHALL00302,false,219
HHALL00402,HHALL00502,false,201
HHALL00502,HRETL00202,false,227
HHALL00502,HRETL00302,false,227
HHALL00502,HHALL00602,false,212
HRETL00202,HBATH00102,false,227
HHALL00602,HHALL00702,false,212
HHALL00702,HSTAI00202,false,227
HHALL00702,HHALL00802,false,210
HHALL00802,HSTAI00302,false,227
HHALL00802,HHALL00902,false,207
HHALL00902,WHALL00702,false,226
HHALL00902,WELEV00M02,false,147
WELEV00M02,HHALL01002,false,186
HHALL01002,HDEPT00102,false,227
HHALL01002,WHALL00502,false,223
WELEV00M03,HHALL00503,false,227
HHALL00503,HSTAI00103,false,227
HHALL00503,HHALL00403,false,227
HHALL00403,HHALL00303,false,227
HHALL00303,HHALL00203,false,227
HHALL00303,HHALL00103,false,0
HHALL00203,HLABS00103,false,227
WELEV00L03,HHALL00603,false,227
HHALL00603,HHALL00703,false,227
HHALL01503,HHALL00603,false,227
HHALL00703,HDEPT00103,false,227
HHALL00703,HHALL00803,false,227
HHALL00803,HSERV00103,false,227
HHALL00803,HHALL00903,false,227
HHALL00903,HHALL01003,false,227
HHALL00903,HHALL01103,false,227
HHALL01003,HBATH00103,false,227
HHALL01103,HDEPT00203,false,227
HHALL01103,HHALL01203,false,2
HHALL01203,HHALL01303,false,0
HHALL01303,HHALL01403,false,0
HHALL01403,HHALL01503,false,225
HHALL01503,HBATH00203,false,227
WHALL00203,IHALL00103,false,209
IHALL00103,IHALL00203,false,214
IHALL00103,IREST00103,false,227
IHALL00203,IHALL00303,false,221
IHALL00203,IDEPT00103,false,227
IHALL01303,IHALL00203,false,144
IHALL00303,IHALL00403,false,223
IHALL00303,IDEPT00203,false,227
IHALL00403,IHALL00503,false,214
IHALL00403,IREST00203,false,227
IHALL00503,IHALL00603,false,176
IHALL00503,IDEPT00303,false,227
IHALL00603,IHALL00703,false,176
IHALL00703,IHALL00803,false,222
IHALL00703,IDEPT00403,false,227
IHALL00803,IHALL01003,false,218
IHALL00803,IREST00303,false,227
IHALL01003,IHALL00903,false,0
IHALL01003,IHALL01103,false,0
IHALL01003,IDEPT00503,false,227
IHALL01003,WELEV00H03,false,167
IHALL01303,IHALL01203,false,155
IHALL01203,IHALL01503,false,0
IHALL01203,WELEV00K03,false,223
IHALL01303,IHALL01403,false,165
IHALL01303,IREST00403,false,227
IHALL01403,IHALL01703,false,173
IHALL01403,IREST00503,false,227
IHALL01703,IHALL01603,false,0
IHALL01703,IHALL01803,false,201
IHALL01803,IHALL01903,false,227
WELEV00J03,IHALL01803,false,170
IHALL01903,IHALL02003,false,227
IHALL01903,IDEPT00803,false,227
IHALL02003,IDEPT00903,false,227
IHALL02203,IDEPT00603,false,227
IHALL02203,IDEPT00703,false,227
WELEV00J03,IHALL02203,false,227
WELEV00E01,WELEV00E02,false,150
WELEV00F01,WELEV00F02,false,75
WELEV00G01,WELEV00G02,false,154
WELEV00HL1,WELEV00H01,false,63
WELEV00HL1,WELEV00H02,false,101
WELEV00HL1,WELEV00H03,false,38
WELEV00H01,WELEV00H02,false,144
WELEV00H01,WELEV00H03,false,30
WELEV00H02,WELEV00H03,false,170
WELEV00JL2,WELEV00JL1,false,33
WELEV00JL2,WELEV00J01,false,62
WELEV00JL2,WELEV00J02,false,116
WELEV00JL2,WELEV00J03,false,24
WELEV00JL1,WELEV00J01,false,63
WELEV00JL1,WELEV00J02,false,125
WELEV00JL1,WELEV00J03,false,26
WELEV00J01,WELEV00J02,false,158
WELEV00J01,WELEV00J03,false,49
WELEV00J02,WELEV00J03,false,153
WELEV00KL2,WELEV00KL1,false,52
WELEV00KL2,WELEV00K01,false,48
WELEV00KL2,WELEV00K02,false,82
WELEV00KL2,WELEV00K03,false,21
WELEV00KL1,WELEV00K01,false,67
WELEV00KL1,WELEV00K02,false,90
WELEV00KL1,WELEV00K03,false,31
WELEV00K01,WELEV00K02,false,136
WELEV00K01,WELEV00K03,false,41
WELEV00K02,WELEV00K03,false,152
WELEV00LL2,WELEV00LL1,false,36
WELEV00LL2,WELEV00L01,false,69
WELEV00LL2,WELEV00L02,false,120
WELEV00LL2,WELEV00L03,false,12
WELEV00LL1,WELEV00L01,false,66
WELEV00LL1,WELEV00L02,false,125
WELEV00LL1,WELEV00L03,false,14
WELEV00L01,WELEV00L02,false,165
WELEV00L01,WELEV00L03,false,61
WELEV00L02,WELEV00L03,false,158
WELEV00ML2,WELEV00ML1,false,46
WELEV00ML2,WELEV00M01,false,50
WELEV00ML2,WELEV00M02,false,76
WELEV00ML2,WELEV00M03,false,28
WELEV00ML1,WELEV00M01,false,57
WELEV00ML1,WELEV00M02,false,85
WELEV00ML1,WELEV00M03,false,34
WELEV00M01,WELEV00M02,false,160
WELEV00M01,WELEV00M03,false,66
WELEV00M02,WELEV00M03,false,144
WHALL00103,WELEV00M03,false,139
WHALL001L2,WHALL002L2,false,210
WHALL00101,WHALL00201,false,216
WHALL00103,WHALL00203,false,122
WHALL00102,WHALL00202,false,227
WHALL00302,WHALL00402,false,218
WHALL00502,WHALL00602,false,208
WHALL00702,WHALL00802,false,226
WHALL00902,WHALL01002,false,227
